movieId,title,genres,release_date,rating,release_year
862,Toy Story,"Animation, Comedy, Family",1995-10-30,7.7,1995.0
8844,Jumanji,"Adventure, Fantasy, Family",1995-12-15,6.9,1995.0
15602,Grumpier Old Men,"Romance, Comedy",1995-12-22,6.5,1995.0
31357,Waiting to Exhale,"Comedy, Drama, Romance",1995-12-22,6.1,1995.0
11862,Father of the Bride Part II,Comedy,1995-02-10,5.7,1995.0
949,Heat,"Action, Crime, Drama, Thriller",1995-12-15,7.7,1995.0
11860,Sabrina,"Comedy, Romance",1995-12-15,6.2,1995.0
45325,Tom and Huck,"Action, Adventure, Drama, Family",1995-12-22,5.4,1995.0
9091,Sudden Death,"Action, Adventure, Thriller",1995-12-22,5.5,1995.0
710,GoldenEye,"Adventure, Action, Thriller",1995-11-16,6.6,1995.0
9087,The American President,"Comedy, Drama, Romance",1995-11-17,6.5,1995.0
12110,Dracula: Dead and Loving It,"Comedy, Horror",1995-12-22,5.7,1995.0
21032,Balto,"Family, Animation, Adventure",1995-12-22,7.1,1995.0
10858,Nixon,"History, Drama",1995-12-22,7.1,1995.0
1408,Cutthroat Island,"Action, Adventure",1995-12-22,5.7,1995.0
524,Casino,"Drama, Crime",1995-11-22,7.8,1995.0
4584,Sense and Sensibility,"Drama, Romance",1995-12-13,7.2,1995.0
5,Four Rooms,"Crime, Comedy",1995-12-09,6.5,1995.0
9273,Ace Ventura: When Nature Calls,"Crime, Comedy, Adventure",1995-11-10,6.1,1995.0
11517,Money Train,"Action, Comedy, Crime",1995-11-21,5.4,1995.0
8012,Get Shorty,"Comedy, Thriller, Crime",1995-10-20,6.4,1995.0
1710,Copycat,"Drama, Thriller",1995-10-27,6.5,1995.0
9691,Assassins,"Action, Adventure, Crime, Thriller",1995-10-06,6.0,1995.0
12665,Powder,"Drama, Fantasy, Science Fiction, Thriller",1995-10-27,6.3,1995.0
451,Leaving Las Vegas,"Drama, Romance",1995-10-27,7.1,1995.0
16420,Othello,Drama,1995-12-15,7.0,1995.0
9263,Now and Then,"Comedy, Drama, Family",1995-10-20,6.6,1995.0
17015,Persuasion,"Drama, Romance",1995-09-27,7.4,1995.0
902,The City of Lost Children,"Fantasy, Science Fiction, Adventure",1995-05-16,7.6,1995.0
37557,Shanghai Triad,"Drama, Crime",1995-04-30,6.5,1995.0
9909,Dangerous Minds,"Drama, Crime",1995-08-11,6.4,1995.0
63,Twelve Monkeys,"Science Fiction, Thriller, Mystery",1995-12-29,7.4,1995.0
78802,Wings of Courage,"Romance, Adventure",1996-09-18,6.8,1996.0
9598,Babe,"Fantasy, Drama, Comedy, Family",1995-07-18,6.0,1995.0
47018,Carrington,"History, Drama, Romance",1995-11-08,6.4,1995.0
687,Dead Man Walking,Drama,1995-12-29,7.3,1995.0
139405,Across the Sea of Time,"Adventure, History, Drama, Family",1995-10-20,3.5,1995.0
33689,It Takes Two,"Comedy, Family, Romance",1995-11-17,6.1,1995.0
9603,Clueless,"Comedy, Drama, Romance",1995-07-19,6.9,1995.0
34615,"Cry, the Beloved Country",Drama,1995-12-15,6.7,1995.0
31174,Richard III,"Drama, War",1995-12-29,6.9,1995.0
11443,Dead Presidents,"Action, Crime, Drama, History",1995-10-06,6.6,1995.0
35196,Restoration,"Drama, Romance",1995-12-29,6.3,1995.0
9312,Mortal Kombat,"Action, Fantasy",1995-08-18,5.4,1995.0
577,To Die For,"Fantasy, Drama, Comedy, Thriller",1995-05-20,6.7,1995.0
11861,How To Make An American Quilt,"Drama, Romance",1995-10-06,6.5,1995.0
807,Se7en,"Crime, Mystery, Thriller",1995-09-22,8.1,1995.0
10530,Pocahontas,"Adventure, Animation, Drama, Family",1995-06-14,6.7,1995.0
8391,When Night Is Falling,"Drama, Romance",1995-05-05,5.9,1995.0
629,The Usual Suspects,"Drama, Crime, Thriller",1995-07-19,8.1,1995.0
117164,Guardian Angel,"Action, Thriller, Drama",1994-11-22,6.3,1994.0
11448,Mighty Aphrodite,"Comedy, Romance",1995-09-13,6.7,1995.0
49133,Lamerica,"Drama, Foreign",1994-01-01,7.7,1994.0
